panel,sfm_or_group,bar_label,value,sd,source
A,tSFM,ID,83.1,3.0,identity_100
B,tSFM,ID,25.8,2.5,identity_100
A,tSFM,OOD,53.7,4.9,mmseqs_060
B,tSFM,OOD,8.6,2.0,mmseqs_060
A,eSFM,ID,86.3,1.5,identity_100
B,eSFM,ID,61.8,0.4,identity_100
A,eSFM,OOD,85.0,1.5,mmseqs_080
B,eSFM,OOD,58.6,2.2,mmseqs_080
A,mhcSFM,ID,65.1,1.9,identity_100
B,mhcSFM,ID,93.3,2.6,identity_100
A,mhcSFM,OOD,53.2,,zero_shot_rare_alleles
B,mhcSFM,OOD,95.4,,zero_shot_rare_alleles
A,crisprSFM,ID,95.4,6.5,identity_100
B,crisprSFM,ID,74.8,20.2,identity_100
A,crisprSFM,OOD,87.0,6.3,hamming_080
B,crisprSFM,OOD,55.5,18.6,hamming_080
A,mir-SFM,ID,98.0,0.6,identity_100
B,mir-SFM,ID,25.4,4.7,identity_100
A,mir-SFM,OOD,99.6,0.4,by_mirna_holdout
B,mir-SFM,OOD,68.8,4.4,by_mirna_holdout
A,dtSFM,ID,27.7,3.3,identity_100
B,dtSFM,ID,60.5,8.7,identity_100
A,dtSFM,OOD,46.0,,mmseqs_080
B,dtSFM,OOD,95.7,,mmseqs_080
C,Canonical,mir-SFM,98.0,,mirSFM bundle CL-6 / §3.1
C,Canonical,Seed matching,9.0,,mirSFM bundle CL-6 / §3.1
C,Non-canonical,mir-SFM,98.0,,mirSFM bundle CL-6 / §3.1
C,Non-canonical,Seed matching,6.1,,mirSFM bundle CL-6 / §3.1
D,Gurung 2023 MS,"NetMHCpan
EL",16.9,,mhcSFM bundle CL-6
D,Gurung 2023 MS,"EL ∩ mhcSFM
cascade",30.0,,mhcSFM bundle CL-6
E,CRISPRoffT ≤4 mm,"Hamming
alone",33.2,,crisprSFM bundle CL-10 + cascade log
E,CRISPRoffT ≤4 mm,"Hamming →
crisprSFM",94.0,,crisprSFM bundle CL-10 + cascade log
F,crisprSFM,SFM,7.0,,audit CL
F,crisprSFM,Baseline,45.8,,audit CL
F,mir-SFM,SFM,98.0,0.6,audit CL
F,mir-SFM,Baseline,6.8,,audit CL
