panel,SFM,x_value,y_value,sd,extra,source
A,tSFM,0,43.46,,train=6.38,tsfm_full_64763913_0.out
A,tSFM,1,53.35,,train=14.67,tsfm_full_64763913_0.out
A,tSFM,2,58.89,,train=21.39,tsfm_full_64763913_0.out
A,tSFM,3,63.03,,train=27.00,tsfm_full_64763913_0.out
A,tSFM,4,64.66,,train=30.98,tsfm_full_64763913_0.out
A,tSFM,5,67.05,,train=33.92,tsfm_full_64763913_0.out
A,tSFM,6,67.12,,train=36.60,tsfm_full_64763913_0.out
A,tSFM,7,67.03,,train=38.63,tsfm_full_64763913_0.out
A,tSFM,8,69.29,,train=40.78,tsfm_full_64763913_0.out
A,tSFM,9,69.84,,train=42.00,tsfm_full_64763913_0.out
A,tSFM,10,70.34,,train=43.25,tsfm_full_64763913_0.out
A,tSFM,11,71.94,,train=44.67,tsfm_full_64763913_0.out
A,tSFM,12,72.25,,train=46.00,tsfm_full_64763913_0.out
A,tSFM,13,71.31,,train=46.73,tsfm_full_64763913_0.out
A,tSFM,14,72.63,,train=47.67,tsfm_full_64763913_0.out
A,tSFM,15,72.60,,train=48.52,tsfm_full_64763913_0.out
A,tSFM,16,73.53,,train=49.31,tsfm_full_64763913_0.out
A,tSFM,17,73.38,,train=49.69,tsfm_full_64763913_0.out
A,tSFM,18,72.63,,train=50.52,tsfm_full_64763913_0.out
A,tSFM,19,72.77,,train=50.76,tsfm_full_64763913_0.out
A,tSFM,20,72.99,,train=51.12,tsfm_full_64763913_0.out
A,tSFM,21,73.36,,train=51.77,tsfm_full_64763913_0.out
A,tSFM,22,72.37,,train=52.24,tsfm_full_64763913_0.out
A,tSFM,23,72.49,,train=52.54,tsfm_full_64763913_0.out
A,tSFM,24,72.74,,train=53.25,tsfm_full_64763913_0.out
A,tSFM,25,74.22,,train=53.03,tsfm_full_64763913_0.out
A,tSFM,26,74.92,,train=53.42,tsfm_full_64763913_0.out
A,tSFM,27,74.35,,train=53.98,tsfm_full_64763913_0.out
A,tSFM,28,73.41,,train=54.21,tsfm_full_64763913_0.out
A,tSFM,29,73.97,,train=54.62,tsfm_full_64763913_0.out
A,tSFM,30,73.34,,train=54.55,tsfm_full_64763913_0.out
A,tSFM,31,75.46,,train=54.62,tsfm_full_64763913_0.out
A,tSFM,32,74.63,,train=53.97,tsfm_full_64763913_0.out
A,tSFM,33,74.95,,train=54.93,tsfm_full_64763913_0.out
A,tSFM,34,74.94,,train=54.80,tsfm_full_64763913_0.out
A,tSFM,35,73.57,,train=55.37,tsfm_full_64763913_0.out
A,tSFM,36,74.32,,train=55.22,tsfm_full_64763913_0.out
A,tSFM,37,74.71,,train=55.14,tsfm_full_64763913_0.out
A,tSFM,38,74.74,,train=55.10,tsfm_full_64763913_0.out
A,tSFM,39,75.40,,train=55.39,tsfm_full_64763913_0.out
A,tSFM,40,74.67,,train=55.37,tsfm_full_64763913_0.out
A,tSFM,41,74.09,,train=55.04,tsfm_full_64763913_0.out
A,tSFM,42,74.00,,train=56.07,tsfm_full_64763913_0.out
A,tSFM,43,73.90,,train=56.01,tsfm_full_64763913_0.out
A,tSFM,44,75.08,,train=55.98,tsfm_full_64763913_0.out
A,tSFM,45,75.42,,train=56.21,tsfm_full_64763913_0.out
A,tSFM,46,75.32,,train=55.91,tsfm_full_64763913_0.out
A,tSFM,47,75.13,,train=55.78,tsfm_full_64763913_0.out
A,tSFM,48,73.44,,train=55.55,tsfm_full_64763913_0.out
A,tSFM,49,73.81,,train=55.97,tsfm_full_64763913_0.out
A,tSFM,50,74.65,,train=55.55,tsfm_full_64763913_0.out
A,tSFM,51,73.96,,train=56.16,tsfm_full_64763913_0.out
A,tSFM,52,75.89,,train=56.08,tsfm_full_64763913_0.out
A,tSFM,53,74.92,,train=56.07,tsfm_full_64763913_0.out
A,tSFM,54,74.81,,train=55.97,tsfm_full_64763913_0.out
A,tSFM,55,74.52,,train=55.80,tsfm_full_64763913_0.out
A,tSFM,56,74.31,,train=55.96,tsfm_full_64763913_0.out
A,tSFM,57,74.77,,train=55.90,tsfm_full_64763913_0.out
A,tSFM,58,74.80,,train=55.99,tsfm_full_64763913_0.out
A,tSFM,59,74.35,,train=55.67,tsfm_full_64763913_0.out
