sfm,threshold,fold,direction_code,direction_biological,r_at_1,r_at_5,r_at_10,note
tSFM,identity_100,0,ag2ab,TF→DNA,81.5,98.8,99.9,
tSFM,identity_100,1,ag2ab,TF→DNA,84.6,98.7,99.5,
tSFM,identity_100,2,ag2ab,TF→DNA,79.9,98.5,99.0,
tSFM,identity_100,3,ag2ab,TF→DNA,86.5,99.6,100.0,
tSFM,identity_100,4 *,ag2ab,TF→DNA,27.8,66.5,81.0,
tSFM,identity_100,mean_0-3,ag2ab,TF→DNA,83.1 ± 3.0,98.9 ± 0.4,99.6 ± 0.5,folds 0-3 (fold 4 excluded — degenerate val set)
tSFM,identity_100,0,ab2ag,DNA→TF,27.5,45.6,52.1,
tSFM,identity_100,1,ab2ag,DNA→TF,27.4,47.1,56.5,
tSFM,identity_100,2,ab2ag,DNA→TF,22.3,41.6,51.2,
tSFM,identity_100,3,ab2ag,DNA→TF,26.1,45.8,55.5,
tSFM,identity_100,4 *,ab2ag,DNA→TF,4.5,14.1,22.0,
tSFM,identity_100,mean_0-3,ab2ag,DNA→TF,25.8 ± 2.5,45.0 ± 2.3,53.8 ± 2.6,folds 0-3 (fold 4 excluded — degenerate val set)
tSFM,mmseqs_080,0,ag2ab,TF→DNA,62.2,86.7,91.5,
tSFM,mmseqs_080,1,ag2ab,TF→DNA,52.7,74.6,85.2,
tSFM,mmseqs_080,2,ag2ab,TF→DNA,48.5,78.8,87.1,
tSFM,mmseqs_080,3,ag2ab,TF→DNA,53.5,80.7,86.1,
tSFM,mmseqs_080,4 *,ag2ab,TF→DNA,56.5,74.6,80.8,
tSFM,mmseqs_080,mean_0-4,ag2ab,TF→DNA,54.7 ± 5.1,79.1 ± 5.0,86.1 ± 3.8,5-fold mean
tSFM,mmseqs_080,0,ab2ag,DNA→TF,13.8,24.5,32.4,
tSFM,mmseqs_080,1,ab2ag,DNA→TF,11.9,20.1,28.1,
tSFM,mmseqs_080,2,ab2ag,DNA→TF,7.9,12.4,20.0,
tSFM,mmseqs_080,3,ab2ag,DNA→TF,7.4,13.6,21.8,
tSFM,mmseqs_080,4 *,ab2ag,DNA→TF,10.1,18.0,25.2,
tSFM,mmseqs_080,mean_0-4,ab2ag,DNA→TF,10.2 ± 2.7,17.7 ± 4.9,25.5 ± 5.0,5-fold mean
tSFM,mmseqs_060,0,ag2ab,TF→DNA,49.7,74.7,83.3,
tSFM,mmseqs_060,1,ag2ab,TF→DNA,49.0,79.9,87.2,
tSFM,mmseqs_060,2,ag2ab,TF→DNA,52.3,77.3,86.5,
tSFM,mmseqs_060,3,ag2ab,TF→DNA,56.4,82.4,89.0,
tSFM,mmseqs_060,4 *,ag2ab,TF→DNA,60.8,85.3,90.0,
tSFM,mmseqs_060,mean_0-4,ag2ab,TF→DNA,53.7 ± 4.9,79.9 ± 4.2,87.2 ± 2.6,5-fold mean
tSFM,mmseqs_060,0,ab2ag,DNA→TF,9.2,16.0,22.4,
tSFM,mmseqs_060,1,ab2ag,DNA→TF,5.5,13.9,20.7,
tSFM,mmseqs_060,2,ab2ag,DNA→TF,8.7,16.0,22.3,
tSFM,mmseqs_060,3,ab2ag,DNA→TF,8.7,17.6,24.0,
tSFM,mmseqs_060,4 *,ab2ag,DNA→TF,11.2,20.3,26.7,
tSFM,mmseqs_060,mean_0-4,ab2ag,DNA→TF,8.6 ± 2.0,16.7 ± 2.4,23.2 ± 2.3,5-fold mean
tSFM,mmseqs_040,0,ag2ab,TF→DNA,52.7,76.0,84.9,
tSFM,mmseqs_040,1,ag2ab,TF→DNA,44.2,74.8,83.7,
tSFM,mmseqs_040,2,ag2ab,TF→DNA,50.7,77.4,88.4,
tSFM,mmseqs_040,3,ag2ab,TF→DNA,51.0,77.6,88.3,
tSFM,mmseqs_040,4 *,ag2ab,TF→DNA,43.3,70.8,82.4,
tSFM,mmseqs_040,mean_0-4,ag2ab,TF→DNA,48.4 ± 4.3,75.3 ± 2.8,85.5 ± 2.7,5-fold mean
tSFM,mmseqs_040,0,ab2ag,DNA→TF,9.7,18.9,25.5,
tSFM,mmseqs_040,1,ab2ag,DNA→TF,6.6,14.6,22.2,
tSFM,mmseqs_040,2,ab2ag,DNA→TF,5.5,10.9,17.7,
tSFM,mmseqs_040,3,ab2ag,DNA→TF,8.1,13.3,19.1,
tSFM,mmseqs_040,4 *,ab2ag,DNA→TF,7.6,15.1,21.2,
tSFM,mmseqs_040,mean_0-4,ab2ag,DNA→TF,7.5 ± 1.6,14.6 ± 2.9,21.1 ± 3.0,5-fold mean
eSFM,identity_100,0,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,1,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,2,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,3,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,4,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,mean_0-3,ag2ab,S→E,61.8 ± 0.4,88.2 ± 0.2,93.5 ± 0.5,CL-verified writeup means (folds 0-3)
eSFM,identity_100,0,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,1,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,2,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,3,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,4,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,identity_100,mean_0-3,ab2ag,E→S,86.3 ± 1.5,95.3 ± 1.0,97.1 ± 0.8,CL-verified writeup means (folds 0-3)
eSFM,mmseqs_080,0,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,1,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,2,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,3,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,4,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,mean_0-3,ag2ab,S→E,58.6 ± 2.2,84.1 ± 1.3,90.1 ± 1.2,CL-verified writeup means (folds 0-3)
eSFM,mmseqs_080,0,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,1,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
